,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
45,44,"Sun, Jan 23, 2022",6:00p,,Box Score,,Portland Trail Blazers,L,,105,114,22,22,L 1,
46,45,"Tue, Jan 25, 2022",7:00p,,Box Score,,Charlotte Hornets,W,,125,113,23,22,W 1,
47,46,"Wed, Jan 26, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,105,111,23,23,L 1,
48,47,"Sat, Jan 29, 2022",8:00p,,Box Score,@,Miami Heat,W,3OT,124,120,24,23,W 1,
49,48,"Mon, Jan 31, 2022",7:30p,,Box Score,@,Atlanta Hawks,W,,106,100,25,23,W 2,
50,49,"Tue, Feb 1, 2022",7:30p,,Box Score,,Miami Heat,W,,110,106,26,23,W 3,
51,50,"Thu, Feb 3, 2022",7:30p,,Box Score,,Chicago Bulls,W,OT,127,120,27,23,W 4,
52,51,"Fri, Feb 4, 2022",7:30p,,Box Score,,Atlanta Hawks,W,,125,114,28,23,W 5,
53,52,"Mon, Feb 7, 2022",7:00p,,Box Score,@,Charlotte Hornets,W,,116,101,29,23,W 6,
54,53,"Wed, Feb 9, 2022",8:00p,,Box Score,@,Oklahoma City Thunder,W,,117,98,30,23,W 7,
55,54,"Thu, Feb 10, 2022",8:00p,,Box Score,@,Houston Rockets,W,,139,120,31,23,W 8,
56,55,"Sat, Feb 12, 2022",7:30p,,Box Score,,Denver Nuggets,L,,109,110,31,24,L 1,
57,56,"Mon, Feb 14, 2022",8:00p,,Box Score,@,New Orleans Pelicans,L,,90,120,31,25,L 2,
58,57,"Wed, Feb 16, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,W,,103,91,32,25,W 1,
59,58,"Fri, Feb 25, 2022",7:00p,,Box Score,@,Charlotte Hornets,L,,93,125,32,26,L 1,
60,59,"Sat, Feb 26, 2022",7:30p,,Box Score,@,Atlanta Hawks,L,,100,127,32,27,L 2,
61,60,"Mon, Feb 28, 2022",7:30p,,Box Score,@,Brooklyn Nets,W,,133,97,33,27,W 1,
62,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,61,"Tue, Mar 1, 2022",7:30p,,Box Score,,Brooklyn Nets,W,,109,108,34,27,W 2,
64,62,"Thu, Mar 3, 2022",7:30p,,Box Score,,Detroit Pistons,L,,106,108,34,28,L 1,
65,63,"Fri, Mar 4, 2022",7:30p,,Box Score,,Orlando Magic,L,,97,103,34,29,L 2,
66,64,"Sun, Mar 6, 2022",7:30p,,Box Score,@,Cleveland Cavaliers,L,,96,104,34,30,L 3,
67,65,"Wed, Mar 9, 2022",8:30p,,Box Score,@,San Antonio Spurs,W,,119,104,35,30,W 1,
68,66,"Fri, Mar 11, 2022",9:00p,,Box Score,@,Phoenix Suns,W,,117,112,36,30,W 2,
69,67,"Sat, Mar 12, 2022",9:00p,,Box Score,@,Denver Nuggets,W,,127,115,37,30,W 3,
70,68,"Mon, Mar 14, 2022",10:30p,,Box Score,@,Los Angeles Lakers,W,,114,103,38,30,W 4,
71,69,"Wed, Mar 16, 2022",10:30p,,Box Score,@,Los Angeles Clippers,W,,103,100,39,30,W 5,
72,70,"Fri, Mar 18, 2022",7:30p,,Box Score,,Los Angeles Lakers,L,OT,123,128,39,31,L 1,
73,71,"Sun, Mar 20, 2022",8:30p,,Box Score,@,Philadelphia 76ers,W,,93,88,40,31,W 1,
74,72,"Mon, Mar 21, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,99,113,40,32,L 1,
75,73,"Thu, Mar 24, 2022",7:30p,,Box Score,,Cleveland Cavaliers,W,,117,104,41,32,W 1,
76,74,"Sat, Mar 26, 2022",7:30p,,Box Score,,Indiana Pacers,W,,131,91,42,32,W 2,
77,75,"Mon, Mar 28, 2022",7:30p,,Box Score,,Boston Celtics,W,OT,115,112,43,32,W 3,
78,76,"Wed, Mar 30, 2022",7:30p,,Box Score,,Minnesota Timberwolves,W,,125,102,44,32,W 4,
79,77,"Fri, Apr 1, 2022",7:00p,,Box Score,@,Orlando Magic,W,,102,89,45,32,W 5,
80,78,"Sun, Apr 3, 2022",7:00p,,Box Score,,Miami Heat,L,,109,114,45,33,L 1,
81,79,"Tue, Apr 5, 2022",7:30p,,Box Score,,Atlanta Hawks,W,,118,108,46,33,W 1,
82,80,"Thu, Apr 7, 2022",7:30p,,Box Score,,Philadelphia 76ers,W,,119,114,47,33,W 2,
83,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
84,81,"Fri, Apr 8, 2022",7:30p,,Box Score,,Houston Rockets,W,,117,115,48,33,W 3,
85,82,"Sun, Apr 10, 2022",7:00p,,Box Score,@,New York Knicks,L,,94,105,48,34,L 1,
