,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
34,34,"Tue, Dec 28, 2021",7:30p,,Box Score,@,Miami Heat,L,,112,119,17,17,L 2,
35,35,"Thu, Dec 30, 2021",7:00p,,Box Score,,Cleveland Cavaliers,W,,110,93,18,17,W 1,
36,36,"Sat, Jan 1, 2022",7:00p,,Box Score,,Chicago Bulls,L,,119,120,18,18,L 1,
37,37,"Mon, Jan 3, 2022",7:00p,,Box Score,,Charlotte Hornets,W,,124,121,19,18,W 1,
38,38,"Wed, Jan 5, 2022",7:00p,,Box Score,,Houston Rockets,L,,111,114,19,19,L 1,
39,39,"Fri, Jan 7, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,122,130,19,20,L 2,
40,40,"Sun, Jan 9, 2022",6:00p,,Box Score,@,Orlando Magic,W,,102,100,20,20,W 1,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Tue, Jan 11, 2022",7:00p,,Box Score,,Oklahoma City Thunder,W,,122,118,21,20,W 2,
43,42,"Wed, Jan 12, 2022",7:00p,,Box Score,,Orlando Magic,W,,112,106,22,20,W 3,
44,43,"Sat, Jan 15, 2022",7:00p,,Box Score,,Portland Trail Blazers,L,,110,115,22,21,L 1,
45,44,"Mon, Jan 17, 2022",2:00p,,Box Score,,Philadelphia 76ers,W,,117,98,23,21,W 1,
46,45,"Wed, Jan 19, 2022",7:00p,,Box Score,,Brooklyn Nets,L,,118,119,23,22,L 1,
47,46,"Fri, Jan 21, 2022",8:00p,,Box Score,,Toronto Raptors,L,,105,109,23,23,L 2,
48,47,"Sun, Jan 23, 2022",3:30p,,Box Score,,Boston Celtics,L,,87,116,23,24,L 3,
49,48,"Tue, Jan 25, 2022",7:00p,,Box Score,,Los Angeles Clippers,L,,115,116,23,25,L 4,
50,49,"Sat, Jan 29, 2022",8:00p,,Box Score,@,Memphis Grizzlies,L,,95,115,23,26,L 5,
51,50,"Tue, Feb 1, 2022",7:30p,,Box Score,@,Milwaukee Bucks,L,,98,112,23,27,L 6,
52,51,"Wed, Feb 2, 2022",7:00p,,Box Score,@,Philadelphia 76ers,W,,106,103,24,27,W 1,
53,52,"Sat, Feb 5, 2022",7:00p,,Box Score,,Phoenix Suns,L,,80,95,24,28,L 1,
54,53,"Mon, Feb 7, 2022",7:00p,,Box Score,,Miami Heat,L,,100,121,24,29,L 2,
55,54,"Thu, Feb 10, 2022",7:30p,,Box Score,,Brooklyn Nets,W,,113,112,25,29,W 1,
56,55,"Sat, Feb 12, 2022",7:00p,,Box Score,,Sacramento Kings,L,,110,123,25,30,L 1,
57,56,"Mon, Feb 14, 2022",7:00p,,Box Score,,Detroit Pistons,W,,103,94,26,30,W 1,
58,57,"Wed, Feb 16, 2022",7:30p,,Box Score,@,Indiana Pacers,L,,108,113,26,31,L 1,
59,58,"Thu, Feb 17, 2022",7:30p,,Box Score,@,Brooklyn Nets,W,,117,103,27,31,W 1,
60,59,"Fri, Feb 25, 2022",7:00p,,Box Score,,San Antonio Spurs,L,2OT,153,157,27,32,L 1,
61,60,"Sat, Feb 26, 2022",8:00p,,Box Score,@,Cleveland Cavaliers,L,,86,92,27,33,L 2,
62,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,61,"Tue, Mar 1, 2022",7:00p,,Box Score,,Detroit Pistons,W,,116,113,28,33,W 1,
64,62,"Fri, Mar 4, 2022",7:00p,,Box Score,,Atlanta Hawks,L,,114,117,28,34,L 1,
65,63,"Sun, Mar 6, 2022",6:00p,,Box Score,,Indiana Pacers,W,,133,123,29,34,W 1,
66,64,"Wed, Mar 9, 2022",10:30p,,Box Score,@,Los Angeles Clippers,L,,109,115,29,35,L 1,
67,65,"Fri, Mar 11, 2022",10:30p,,Box Score,@,Los Angeles Lakers,L,,109,122,29,36,L 2,
68,66,"Sat, Mar 12, 2022",10:00p,,Box Score,@,Portland Trail Blazers,L,,118,127,29,37,L 3,
69,67,"Mon, Mar 14, 2022",10:00p,,Box Score,@,Golden State Warriors,L,,112,126,29,38,L 4,
70,68,"Wed, Mar 16, 2022",7:00p,,Box Score,,Denver Nuggets,L,,109,127,29,39,L 5,
71,69,"Fri, Mar 18, 2022",7:30p,,Box Score,@,New York Knicks,L,,97,100,29,40,L 6,
72,70,"Sat, Mar 19, 2022",8:00p,,Box Score,,Los Angeles Lakers,W,,127,119,30,40,W 1,
73,71,"Mon, Mar 21, 2022",8:00p,,Box Score,@,Houston Rockets,L,,97,115,30,41,L 1,
74,72,"Thu, Mar 24, 2022",8:00p,,Box Score,@,Milwaukee Bucks,L,,102,114,30,42,L 2,
75,73,"Fri, Mar 25, 2022",7:00p,,Box Score,@,Detroit Pistons,W,,100,97,31,42,W 1,
76,74,"Sun, Mar 27, 2022",6:00p,,Box Score,,Golden State Warriors,W,,123,115,32,42,W 2,
77,75,"Tue, Mar 29, 2022",7:00p,,Box Score,,Chicago Bulls,L,,94,107,32,43,L 1,
78,76,"Wed, Mar 30, 2022",7:00p,,Box Score,,Orlando Magic,W,,127,110,33,43,W 1,
79,77,"Fri, Apr 1, 2022",7:00p,,Box Score,,Dallas Mavericks,W,,135,103,34,43,W 2,
80,78,"Sun, Apr 3, 2022",1:00p,,Box Score,@,Boston Celtics,L,,102,144,34,44,L 1,
81,79,"Tue, Apr 5, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,W,,132,114,35,44,W 1,
82,80,"Wed, Apr 6, 2022",8:00p,,Box Score,@,Atlanta Hawks,L,,103,118,35,45,L 1,
83,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
84,81,"Fri, Apr 8, 2022",7:00p,,Box Score,,New York Knicks,L,,92,114,35,46,L 2,
85,82,"Sun, Apr 10, 2022",3:30p,,Box Score,@,Charlotte Hornets,L,,108,124,35,47,L 3,
